iter	Passed	Remaining
736	4540	1620
737	4544	1613
738	4550	1607
739	4555	1600
740	4560	1593
741	4566	1587
742	4572	1581
743	4576	1574
744	4581	1568
745	4586	1561
746	4591	1555
747	4596	1548
748	4601	1542
749	4606	1535
750	4613	1529
751	4618	1523
752	4623	1516
753	4628	1510
754	4634	1503
755	4638	1497
756	4643	1490
757	4648	1484
758	4653	1477
759	4658	1471
760	4664	1465
761	4670	1458
762	4674	1451
763	4680	1445
764	4684	1439
765	4689	1432
766	4695	1426
767	4700	1419
768	4704	1413
769	4710	1406
770	4714	1400
771	4719	1393
772	4724	1387
773	4730	1381
774	4735	1374
775	4740	1368
776	4745	1361
777	4750	1355
778	4754	1348
779	4760	1342
780	4765	1336
781	4769	1329
782	4775	1323
783	4780	1317
784	4784	1310
785	4789	1304
786	4794	1297
787	4799	1291
788	4805	1285
789	4809	1278
790	4814	1272
791	4818	1265
792	4824	1259
793	4828	1252
794	4833	1246
795	4839	1240
796	4843	1233
797	4848	1227
798	4852	1220
799	4857	1214
800	4862	1208
801	4867	1201
802	4872	1195
803	4878	1189
804	4882	1182
805	4888	1176
806	4892	1170
807	4897	1163
808	4902	1157
809	4907	1151
810	4911	1144
811	4916	1138
812	4921	1131
813	4925	1125
814	4930	1119
815	4935	1112
816	4940	1106
817	4944	1100
818	4949	1093
819	4955	1087
820	4959	1081
821	4964	1074
822	4969	1068
823	4974	1062
824	4979	1056
825	4985	1050
826	4990	1043
827	4995	1037
828	5000	1031
829	5005	1025
830	5009	1018
831	5014	1012
832	5019	1006
833	5024	1000
834	5030	994
835	5035	987
836	5039	981
837	5044	975
838	5049	969
839	5053	962
840	5059	956
841	5067	950
842	5074	945
843	5081	939
844	5087	933
845	5092	927
846	5099	921
847	5105	915
848	5110	909
849	5116	902
850	5121	896
851	5127	890
852	5133	884
853	5138	878
854	5143	872
855	5148	866
856	5152	859
857	5156	853
858	5162	847
859	5167	841
860	5171	834
861	5177	828
862	5182	822
863	5186	816
864	5191	810
865	5196	804
866	5200	797
867	5205	791
868	5210	785
869	5214	779
870	5218	772
871	5223	766
872	5228	760
873	5232	754
874	5236	748
